Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Player_ID,Category_ID,Format_ID,Element_ID
12/23/2018,0.044,6.3,5.3,0.842,0.52,Good,3.5,1.7,5.2,0.323,0.371,0.053,0.158,0.132,0.4,110,2,2,1
12/23/2018,0.044,3.5,2.3,0.658,0.84,Excellent,1.8,0.7,2.5,0.286,0.321,0.132,0.132,0.105,0.32,116,2,2,1
12/23/2018,0.043,3.4,3.4,1,0.23,Below Average,1.3,1.4,2.6,0.517,0.552,0.108,0.135,0.108,0.49,113,2,2,1
12/23/2018,0.016,1.4,1.3,0.929,0.35,Average,0.6,0.5,1.1,0.455,0.5,0.143,0.071,0.071,0.43,111,2,2,1
12/23/2018,0.012,1.1,0.9,0.8,0.61,Good,0.7,0.3,1,0.333,0.333,0,0.1,0.1,0.4,109,2,2,1
12/23/2018,0.005,0.7,0,0,-,-,0.7,0,0.7,0,0,0,0,0,0,120,2,2,1
12/23/2018,0.003,0.4,0.6,1.667,-,-,0.1,0.3,0.4,0.667,0.833,0,0,0,0.67,119,2,2,1
12/23/2018,0.003,0.8,0.3,0.333,-,-,0.5,0,0.5,0,0,0,0.333,0,0.33,122,2,2,1
12/23/2018,0.002,0.3,0,0,-,-,0.3,0,0.3,0,0,0,0,0,0,117,2,2,1
12/23/2018,0.087,7.8,8,1.023,0.21,Below Average,3.4,3,6.4,0.471,0.536,0.07,0.128,0.105,0.49,201,2,2,1
12/23/2018,0.055,5,3.3,0.655,0.84,Excellent,2.5,1.2,3.7,0.317,0.354,0.164,0.109,0.109,0.31,203,2,2,1
12/23/2018,0.053,4.8,4.5,0.925,0.36,Average,2.1,1.5,3.5,0.41,0.5,0.189,0.113,0.113,0.38,204,2,2,1
12/23/2018,0.051,5.1,4.7,0.922,0.37,Average,2.7,1.6,4.3,0.372,0.512,0.078,0.078,0.059,0.35,208,2,2,1
12/23/2018,0.045,5.6,4.3,0.756,0.69,Very Good,2.3,1.9,4.1,0.455,0.47,0.2,0.111,0.044,0.38,198,2,2,1
12/23/2018,0.037,3.4,2.6,0.784,0.64,Good,1.9,1.2,3.1,0.382,0.426,0.054,0.027,0,0.35,200,2,2,1
12/23/2018,0.035,3.2,4.2,1.314,0.03,Poor,1.1,1.5,2.6,0.586,0.707,0.057,0.114,0.086,0.57,207,2,2,1
12/23/2018,0.034,3.8,4,1.059,0.17,Below Average,1.4,1.4,2.9,0.5,0.538,0.118,0.147,0.147,0.5,214,2,2,1
12/23/2018,0.027,3.4,3.1,0.926,0.36,Average,0.9,1.1,2,0.563,0.625,0.222,0.222,0.111,0.44,213,2,2,1
12/23/2018,0.025,2.8,3.4,1.24,0.05,Poor,1.1,1.2,2.3,0.524,0.667,0.08,0.08,0.08,0.52,206,2,2,1
12/23/2018,0.025,2.5,1.9,0.76,0.68,Very Good,1.2,0.8,2,0.4,0.475,0.2,0,0,0.32,209,2,2,1
12/23/2018,0.015,2.1,2,0.933,0.34,Average,1,0.7,1.7,0.417,0.5,0.133,0.067,0.067,0.4,202,2,2,1
12/23/2018,0.015,3,4,1.333,0.03,Poor,1,1.4,2.4,0.583,0.75,0.133,0.133,0.133,0.53,212,2,2,1
12/23/2018,0.012,1.7,1,0.583,0.91,Excellent,1.1,0.4,1.6,0.273,0.318,0,0.167,0.083,0.25,205,2,2,1
12/23/2018,0.01,1.7,1.8,1.1,0.13,Poor,0.8,0.5,1.3,0.375,0.563,0.1,0.1,0,0.4,197,2,2,1
12/23/2018,0.009,2.3,1.5,0.667,-,-,1,0.8,1.8,0.429,0.429,0.222,0,0,0.33,199,2,2,1
12/23/2018,0.004,1.3,1.7,1.25,-,-,0,0.3,0.3,1,1,0.5,0.5,0.5,0.5,211,2,2,1
12/23/2018,0.004,1.3,2.3,1.75,-,-,0,1,1,1,1,0.25,0.25,0.25,0.75,216,2,2,1
12/23/2018,0.003,1,0.7,0.667,-,-,0.7,0,0.7,0,0,0,0.333,0.333,0.33,210,2,2,1
12/23/2018,0.001,1,2,2,-,-,0,1,1,1,1,0,1,1,1,215,2,2,1
12/23/2018,0.001,1,2,2,-,-,0,0,0,-,-,0,1,1,1,19,2,2,1
12/23/2018,0.089,8.6,8.5,0.979,0.28,Below Average,3.9,3,6.9,0.434,0.546,0.105,0.105,0.095,0.41,57,2,2,1
12/23/2018,0.064,6.3,6.9,1.101,0.13,Poor,2.7,2.5,5.2,0.474,0.553,0.043,0.145,0.101,0.51,68,2,2,1
12/23/2018,0.061,7.2,6.3,0.877,0.45,Average,3.1,2.2,5.3,0.417,0.51,0.154,0.108,0.062,0.39,60,2,2,1
12/23/2018,0.057,6.8,8.1,1.197,0.08,Poor,2.4,2.9,5.3,0.542,0.635,0.098,0.115,0.098,0.54,56,2,2,1
12/23/2018,0.049,6.6,5.4,0.811,0.58,Good,3.4,2.3,5.6,0.4,0.456,0.132,0.075,0.057,0.34,64,2,2,1
12/23/2018,0.046,4.5,4.6,1.041,0.19,Below Average,2.3,1.4,3.6,0.375,0.513,0.082,0.122,0.122,0.41,54,2,2,1
12/23/2018,0.038,4.1,3.5,0.854,0.5,Average,2.1,1.4,3.5,0.4,0.471,0.122,0.049,0.049,0.37,67,2,2,1
12/23/2018,0.035,3.8,4.1,1.079,0.15,Below Average,1.7,1.5,3.2,0.469,0.563,0.079,0.105,0.053,0.47,65,2,2,1
12/23/2018,0.016,2.1,3.1,1.471,0.01,Poor,0.5,1.1,1.6,0.692,0.808,0.118,0.176,0.176,0.65,58,2,2,1
12/23/2018,0.013,2.3,1.5,0.643,0.86,Excellent,1.2,0.5,1.7,0.3,0.3,0.143,0.143,0.071,0.36,61,2,2,1
12/23/2018,0.011,2,3.5,1.75,0,Poor,0.3,1,1.3,0.75,0.875,0.083,0.25,0.167,0.75,69,2,2,1
12/23/2018,0.007,1.3,1.8,1.375,-,-,0.3,0.5,0.8,0.6,0.6,0,0.5,0.375,0.75,71,2,2,1
12/23/2018,0.005,1,0.8,0.8,-,-,0.6,0.2,0.8,0.25,0.25,0,0.2,0,0.4,53,2,2,1
12/23/2018,0.002,0.3,0.3,1,-,-,0.1,0,0.1,0,0,0,0.5,0.5,0.5,55,2,2,1
12/23/2018,0.002,0.5,0.5,1,-,-,0.3,0.3,0.5,0.5,0.5,0,0,0,0.5,62,2,2,1
12/23/2018,0.09,8,5,0.625,0.87,Excellent,4.9,1.7,6.6,0.258,0.303,0.088,0.1,0.075,0.29,41,2,2,1
12/23/2018,0.066,8.3,6.6,0.793,0.62,Good,4.3,2.4,6.7,0.362,0.404,0.121,0.069,0.052,0.36,46,2,2,1
12/23/2018,0.068,6,3.4,0.567,0.93,Excellent,3.2,1.3,4.5,0.289,0.344,0.217,0.033,0.033,0.25,39,2,2,1
12/23/2018,0.07,6.2,6.8,1.097,0.14,Poor,2.1,2.2,4.3,0.512,0.581,0.145,0.21,0.145,0.5,48,2,2,1
12/23/2018,0.031,2.7,2.2,0.815,0.57,Good,1.3,0.8,2.1,0.381,0.429,0.111,0.111,0.074,0.41,37,2,2,1
12/23/2018,0.041,3.6,3.9,1.083,0.15,Below Average,1.3,1.4,2.7,0.519,0.593,0.167,0.139,0.139,0.47,42,2,2,1
12/23/2018,0.025,2.2,2.4,1.091,0.14,Poor,1,1,2,0.5,0.6,0.091,0,0,0.46,40,2,2,1
12/23/2018,0.021,2.1,2,0.947,0.32,Average,0.8,0.7,1.4,0.462,0.5,0.158,0.158,0,0.47,45,2,2,1
12/23/2018,0.011,1.4,1.4,1,0.23,Below Average,0.7,0.7,1.4,0.5,0.5,0,0,0,0.5,52,2,2,1
12/23/2018,0.017,2.5,1.7,0.667,0.83,Excellent,1,0.5,1.5,0.333,0.333,0.2,0.2,0.2,0.4,43,2,2,1
12/23/2018,0.027,6,5.8,0.958,0.31,Average,2.3,1.8,4,0.438,0.563,0.208,0.167,0.125,0.38,38,2,2,1
12/23/2018,0.014,4,0.7,0.167,1,Excellent,2.3,0.3,2.7,0.125,0.125,0.333,0,0,0.08,51,2,2,1
12/23/2018,0.008,1.4,0.4,0.286,-,-,1,0.2,1.2,0.167,0.167,0.143,0.143,0.143,0.14,49,2,2,1
