Team_Name,Player_Name,Uploaded_Date,Category_Name,Format_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Aurora University,Jarek Hotwagner,2019-1-9,Play Types,Offensive,P&R Ball Handler,18.9%,1,0.9,0.929,27%,Below Average,0.5,0.4,0.9,46.2%,46.2%,0%,7.1%,7.1%,"50%
"
Aurora University,Ty Carlson,2019-1-9,Play Types,Offensive,P&R Ball Handler,13.5%,0.7,1.1,1.6,97%,Excellent,0.1,0.4,0.4,83.3%,83.3%,10%,30%,30%,"80%
"
Aurora University,Mike Finley,2019-1-9,Play Types,Offensive,P&R Ball Handler,4.1%,0.2,0.3,1.333,-,-,0.1,0.1,0.2,66.7%,66.7%,0%,0%,0%,"66.7%
"
Aurora University,Max Vickers,2019-1-9,Play Types,Offensive,P&R Ball Handler,2.7%,0.7,1,1.5,-,-,0.3,0.3,0.7,50%,50%,0%,50%,50%,"50%
"
Aurora University,Justin Wierzgac,2019-1-9,Play Types,Offensive,P&R Ball Handler,2.7%,0.2,0.2,1,-,-,0.1,0.1,0.2,50%,50%,0%,0%,0%,"50%
"
Aurora University,Rashad Johnson,2019-1-9,Play Types,Offensive,P&R Ball Handler,1.4%,0.1,0.3,2,-,-,0,0.1,0.1,100%,100%,0%,0%,0%,"100%
"
Aurora University,Ty Carlson,2019-1-9,Play Types,Offensive,Off Screen,21.1%,1.1,1.6,1.467,95%,Excellent,0.4,0.6,0.9,61.5%,84.6%,13.3%,0%,0%,"53.3%
"
Aurora University,Garrett Hoffman,2019-1-9,Play Types,Offensive,Off Screen,18.3%,1.4,1.4,1,59%,Good,0.6,0.6,1.1,50%,65%,23.1%,0%,0%,"38.5%
"
Aurora University,Brandon James,2019-1-9,Play Types,Offensive,Off Screen,12.7%,0.6,0.5,0.778,-,-,0.4,0.2,0.6,33.3%,38.9%,0%,0%,0%,"33.3%
"
Aurora University,Rashad Johnson,2019-1-9,Play Types,Offensive,Off Screen,9.9%,1,1.1,1.143,-,-,0.6,0.4,1,42.9%,57.1%,0%,0%,0%,"42.9%
"
Aurora University,Bailey Vance,2019-1-9,Play Types,Offensive,Off Screen,7%,0.4,0,0,-,-,0.1,0,0.1,0%,0%,60%,0%,0%,"0%
"
Aurora University,Mike Finley,2019-1-9,Play Types,Offensive,Off Screen,7%,0.4,0.3,0.8,-,-,0.1,0.1,0.3,50%,50%,20%,0%,0%,"40%
"
Aurora University,Justin Wierzgac,2019-1-9,Play Types,Offensive,Off Screen,7%,0.5,0.3,0.6,-,-,0.3,0.1,0.4,25%,37.5%,0%,20%,20%,"20%
"
Aurora University,Jarek Hotwagner,2019-1-9,Play Types,Offensive,Off Screen,5.6%,0.3,0.1,0.5,-,-,0.1,0.1,0.2,33.3%,33.3%,25%,0%,0%,"25%
"
Aurora University,Jesse Young,2019-1-9,Play Types,Offensive,Off Screen,4.2%,0.3,0.2,0.667,-,-,0.2,0.1,0.3,33.3%,33.3%,0%,0%,0%,"33.3%
"
