GP,Min,SST,SSTexPts,Pts,Ast,TO,Ast_Turnover_Ratio,Stl,StlPos,Blk,TtlReb,OffReb,DefReb,FGA,FG_Made,FG_miss,FG,adjusted_FG,Two_FGA,Two_FG_Made,Two_FG_miss,Two_FG,Three_FGA,Three_FG_Made,Three_FG_miss,Three_FG,FTA,FT_Made,FT_miss,FT,AndOne,PFTkn,PFCom,Uploaded_Date,Player_ID,Team_ID
7,33.7,0.9,0.24,13.3,2.1,3.1,0.68,0.7,1.1,0.6,6.3,1.1,5.1,12.7,4.6,8.1,0.36,0.39,9,3.7,5.3,0.41,3.7,0.9,2.9,0.23,4.9,3.3,1.6,0.68,0.1,3.7,2.9,2019-01-30,46,10
7,8.4,0.59,0.2,2.4,0.4,0.6,0.75,0.3,0.4,0.1,1,0.1,0.9,2,1,1,0.5,0.57,1,0.7,0.3,0.71,1,0.3,0.7,0.29,0.3,0.1,0.1,0.5,0,0.3,0.6,2019-01-30,47,10
5,1.6,-0.35,-0.25,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,-,0.2,0,0.2,0,0,0,0,-,0,0,0,2019-01-30,217,10
18,22.2,0.8,0.29,6.8,1.7,1.2,1.41,0.7,0.8,0.1,3.1,0.8,2.3,6.2,2.3,3.8,0.38,0.44,3.6,1.6,1.9,0.45,2.6,0.7,1.9,0.28,1.8,1.4,0.4,0.76,0.2,1.7,2.9,2019-01-30,48,10
13,11.4,0.62,0.38,2.2,0.2,0.8,0.2,0.5,0.5,0.5,2.8,0.8,2,2.7,0.8,1.9,0.29,0.33,1.2,0.5,0.6,0.47,1.5,0.2,1.3,0.15,0.6,0.4,0.2,0.63,0,0.5,1.8,2019-01-30,49,10
18,17.7,1.05,0.27,9.4,0.4,1.9,0.21,0.2,1,0.8,4.2,1.7,2.5,8,4,4,0.5,0.52,7.1,3.7,3.4,0.52,0.9,0.3,0.6,0.38,1.6,1.1,0.6,0.66,0.3,1.6,2.6,2019-01-30,50,10
11,19.9,0.6,0.15,5.4,0.7,1.2,0.62,0.5,0.8,0.2,2,0.4,1.6,3.9,1.8,2.1,0.47,0.57,1.5,1,0.5,0.69,2.5,0.8,1.6,0.33,1.3,0.9,0.4,0.71,0.1,1.5,1.9,2019-01-30,51,10
3,1.7,0,0,0,0,0.3,0,0,0.3,0,0.7,0,0.7,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,2019-01-30,218,10
5,1.4,0.77,1,0,0.6,0,-,0,0,0,0.2,0,0.2,0.4,0,0.4,0,0,0,0,0,-,0.4,0,0.4,0,0,0,0,-,0,0,0,2019-01-30,219,10
5,3.2,2.07,0.63,2.2,0,0.2,0,0,0,0,2,0.4,1.6,1,0.8,0.2,0.8,0.8,1,0.8,0.2,0.8,0,0,0,-,1.2,0.6,0.6,0.5,0,0.8,0,2019-01-30,44,10
14,8.3,0.61,0.44,1.3,0.4,0.4,1,0.4,0.2,0.4,1.4,0.5,0.9,1.4,0.6,0.9,0.4,0.4,1.4,0.6,0.9,0.4,0,0,0,-,0.5,0.1,0.4,0.29,0,0.5,1.4,2019-01-30,52,10
