Team_Name,Player_Name,GP,Min,SST,SSTexPts,Pts,Ast,TO,Ast_Turnover_Ratio,Stl,StlPos,Blk,TtlReb,OffReb,DefReb,FGA,FG_Made,FG_miss,FG,adjusted_FG,Two_FGA,Two_FG_Made,Two_FG_miss,Two_FG,Three_FGA,Three_FG_Made,Three_FG_miss,Three_FG,FTA,FT_Made,FT_miss,FT,AndOne,PFTkn,PFCom,Uploaded_Date
Illinois Tech Scarlet Hawks,Capriest Gardner,17,7.4,0.27,0.13,1.2,0.3,0.7,0.42,0.2,0.3,0,1.2,0.2,0.9,1.5,0.6,0.9,40%,40%,1.4,0.6,0.8,41.7%,0.1,0,0.1,0%,0,0,0,-,0,0.1,0.8,2019-01-30
Illinois Tech Scarlet Hawks,Otis Reale,13,16.6,0.71,0.16,7.1,1.8,1.2,1.44,0.2,0.4,0,1.1,0.1,1,7,2.9,4.1,41.8%,46.2%,4.8,2.3,2.5,48.4%,2.2,0.6,1.6,27.6%,0.8,0.6,0.2,72.7%,0.1,0.8,1.5,2019-01-30
Illinois Tech Scarlet Hawks,Brett Ott,7,3.3,1.61,0.17,2,0.3,0.1,2,0,0,0,0.3,0,0.3,0.9,0.6,0.3,66.7%,75%,0.7,0.4,0.3,60%,0.1,0.1,0,100%,1.1,0.7,0.4,62.5%,0,0.4,0,2019-01-30
Illinois Tech Scarlet Hawks,Jake Digiorgio,21,32.5,1.27,0.60,13.5,1,2,0.48,1,0.7,0.6,13.4,4.9,8.6,11.1,5.3,5.8,47.9%,50%,9.9,4.9,5,49.3%,1.3,0.5,0.8,37%,3.7,2.3,1.4,62.8%,0.5,2.9,2.6,2019-01-30
Illinois Tech Scarlet Hawks,Max Hisatake,20,28.7,1.39,0.49,13,1.9,2.8,0.67,1,1.2,1.2,9.2,2.4,6.8,9.7,4.7,5,48.4%,49%,9.2,4.6,4.6,50.3%,0.6,0.1,0.4,18.2%,4.8,3.6,1.3,73.2%,0.3,4.6,3.6,2019-01-30
Illinois Tech Scarlet Hawks,Milos Dugalic,21,17,0.52,0.25,3.9,1.1,1.7,0.64,0.6,0.6,0.3,3,0.5,2.5,4,1.6,2.5,38.8%,44.1%,2.4,1.1,1.2,48%,1.7,0.4,1.2,25.7%,0.5,0.3,0.2,54.6%,0,0.5,1.1,2019-01-30
Illinois Tech Scarlet Hawks,Cody Mattson,9,3.9,0.43,0.49,0.2,0.3,0.2,1.50,0,0.2,0.3,0.9,0.1,0.8,0.8,0.1,0.7,14.3%,14.3%,0.4,0.1,0.3,25%,0.3,0,0.3,0%,0,0,0,-,0,0,0.3,2019-01-30
Illinois Tech Scarlet Hawks,Parker Joncus,19,21.1,0.42,0.12,4.2,1,1.2,0.83,0.4,0.7,0.2,1.7,0.2,1.5,3.4,1.3,2.1,39.1%,53.1%,0.7,0.4,0.4,50%,2.6,0.9,1.7,36%,0.8,0.6,0.2,73.3%,0,0.6,1.4,2019-01-30
Illinois Tech Scarlet Hawks,Guy Ostroff,1,2,0.50,0.50,0,0,0,-,0,0,0,1,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,2019-01-30
Illinois Tech Scarlet Hawks,Ricardo Whitehead,18,4.6,0.27,0.13,0.4,0.2,0.5,0.44,0.1,0.1,0,0.8,0.2,0.6,0.5,0.2,0.3,33.3%,33.3%,0.5,0.2,0.3,33.3%,0,0,0,-,0.3,0.1,0.2,40%,0,0.2,0.8,2019-01-30
Illinois Tech Scarlet Hawks,Kohl Linder,15,4.7,0.37,0.21,0.5,0,0.1,0,0.1,0.1,0,0.8,0.3,0.5,0.4,0.3,0.1,66.7%,66.7%,0.4,0.3,0.1,66.7%,0,0,0,-,0,0,0,-,0,0,0.9,2019-01-30
