Format_ID,Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Category_ID,Element_ID,Team_ID
1,2018-12-23,0.04,3.4,4,1.18,0.82,Very Good,1.2,1.7,2.9,0.58,0.65,0.11,0.05,0.05,0.52,2,8,6
2,2018-12-23,0.03,2.2,2.2,1,0.45,Average,0.8,0.9,1.7,0.55,0.59,0.1,0.14,0.14,0.52,2,8,6
1,2018-12-23,0.02,1.5,0.7,0.45,0.04,Poor,0.9,0.2,1.2,0.2,0.23,0.2,0.05,0.05,0.2,2,7,6
2,2018-12-23,0.03,2.6,2.2,0.85,0.44,Average,1.1,0.8,1.8,0.42,0.5,0.21,0.09,0.09,0.38,2,7,6
1,2018-12-23,0.1,8.4,4.5,0.54,0.72,Very Good,0.2,0.5,0.7,0.78,0.83,0.67,0.27,0.06,0.29,2,20,6
2,2018-12-23,0.08,6.2,2.2,0.36,0.78,Very Good,0.5,0.4,0.8,0.46,0.5,0.61,0.25,0.01,0.23,2,20,6
1,2018-12-23,0.07,5.4,4.1,0.76,0.38,Average,2.7,1.3,4,0.33,0.38,0.14,0.14,0.09,0.34,3,21,6
2,2018-12-23,0.07,5.5,3.6,0.65,0.85,Excellent,2.8,1.4,4.2,0.33,0.37,0.18,0.08,0.04,0.31,3,21,6
1,2018-12-23,0.24,19.2,15.9,0.83,0.53,Good,8.4,6.3,14.7,0.43,0.49,0.19,0.07,0.06,0.37,3,22,6
2,2018-12-23,0.24,19.8,18.3,0.92,0.25,Below Average,7.9,6.7,14.6,0.46,0.53,0.18,0.1,0.07,0.41,3,22,6
1,2018-12-23,0.11,9,7.8,0.86,0.5,Average,3.8,3.1,6.8,0.45,0.48,0.13,0.14,0.08,0.44,3,23,6
