lineup_players,ast,block,defreb,fga,fg_made,fg_miss,fta,ft_made,ft_miss,foul,lineup_score,min,offreb,oppo_ast,oppo_block,oppo_defreb,oppo_fga,oppo_fg_made,oppo_fg_miss,oppo_fta,oppo_ft_made,oppo_ft_miss,oppo_foul,oppo_offreb,oppo_score,oppo_stl,oppo_three_fga,oppo_three_fg_made,oppo_three_fg_miss,oppo_ttlreb,oppo_turnover,oppo_two_fga,oppo_two_fg_made,oppo_two_fg_miss,plusminus,stl,three_fga,three_fg_made,three_fg_miss,ttlreb,turnover,two_fga,two_fg_made,two_fg_miss
"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Parker Joncus,Ricardo Whitehead",0,0,0,0,0,0,0,0,0,1,0,1.28333333333333,0,1,0,0,2,1,1,0,0,0,1,0,2,0,1,0,1,0,0,1,1,0,-2,0,0,0,0,0,2,0,0,0
"Ahmad Muhammad,Jake Bruns,Kohl Linder,Max Hisatake,Milos Dugalic",0,0,1,3,0,3,2,1,1,2,1,2.2833333333333368,1,0,0,2,4,1,3,3,3,0,1,1,5,0,1,0,1,3,1,3,1,2,-4,0,1,0,1,2,0,2,0,2
"Ahmad Muhammad,Jake Bruns,Kohl Linder,Max Hisatake,Milos Dugalic,Parker Joncus",0,0,1,2,0,2,0,0,0,1,0,1.51666666666667,0,0,0,2,2,1,1,0,0,0,0,0,2,0,0,0,0,2,0,2,1,1,-2,0,1,0,1,1,1,1,0,1
"Ahmad Muhammad,Jake Bruns,Max Hisatake,Otis Reale,Parker Joncus",0,0,4,8,3,5,0,0,0,0,6,3.4166666666666696,2,0,0,3,5,1,4,0,0,0,1,0,2,0,2,0,2,3,2,3,1,2,4,1,0,0,0,6,0,8,3,5
"Ahmad Muhammad,Jake Digiorgio,Kohl Linder,Kohl Linder,Otis Reale,Parker Joncus",0,1,1,3,2,1,0,0,0,1,5,1.9333333333333302,0,1,0,0,3,1,2,0,0,0,0,0,2,0,1,0,1,0,0,2,1,1,0,0,1,1,0,1,0,2,1,1
"Ahmad Muhammad,Jake Digiorgio,Kohl Linder,Milos Dugalic,Otis Reale",0,0,0,1,0,1,0,0,0,1,0,0.44999999999999896,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
"Ahmad Muhammad,Jake Digiorgio,Kohl Linder,Otis Reale,Parker Joncus",0,0,0,0,0,0,0,0,0,0,0,0.3833333333333329,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,-2,0,0,0,0,0,1,0,0,0
"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",1,0,4,6,1,5,2,2,0,2,4,5.066666666666667,0,2,0,5,7,3,4,3,0,3,4,2,7,1,3,1,2,7,2,4,2,2,-3,0,3,0,3,4,1,3,1,2
"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Milos Dugalic,Zach Parduhn",0,1,1,1,0,1,0,0,0,3,0,1.21666666666667,0,1,0,1,2,1,1,0,0,0,0,0,2,1,0,0,0,1,0,2,1,1,-2,0,0,0,0,1,2,1,0,1
"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",8,3,13,31,13,18,14,11,3,8,41,44.449999999999996,5,9,0,14,35,15,20,7,5,2,11,5,38,4,10,3,7,19,3,25,12,13,6,2,10,4,6,18,8,21,9,12
"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",0,2,4,8,3,5,5,5,0,2,11,4.199999999999996,2,2,1,3,6,3,3,4,4,0,6,0,10,1,0,0,0,3,0,6,3,3,1,0,0,0,0,6,2,8,3,5
"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic,Parker Joncus,Zach Parduhn",0,0,1,0,0,0,1,0,1,0,0,0.316666666666667,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic,Ricardo Whitehead,Zach Parduhn",0,0,0,0,0,0,0,0,0,1,0,0.166666666666666,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0
"Ahmad Muhammad,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",1,0,0,1,1,0,0,0,0,3,2,1.05,0,0,0,0,2,0,2,2,2,0,1,2,2,0,0,0,0,2,1,2,0,2,0,0,0,0,0,0,0,1,1,0
"Ahmad Muhammad,Max Hisatake,Milos Dugalic,Ricardo Whitehead,Zach Parduhn",1,0,0,2,2,0,0,0,0,0,4,1.16666666666667,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,2,2,0
"Anthony Mosley,Brett Ott,Capriest Gardner,Milos Dugalic,Zach Parduhn",0,0,3,4,0,4,2,1,1,0,1,2.81666666666667,1,0,0,3,8,2,6,0,0,0,1,3,4,0,1,0,1,6,0,7,2,5,0,0,1,0,1,4,0,3,0,3
"Anthony Mosley,Calvin Schmitz,Cody Mattson,Jake Bruns,Ricardo Whitehead",0,0,4,6,2,4,0,0,0,0,5,2.91666666666667,0,1,0,2,5,1,4,0,0,0,1,0,2,1,2,0,2,2,1,3,1,2,3,0,3,1,2,4,1,3,1,2
"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Kohl Linder",0,0,1,2,1,1,0,0,0,1,2,1.75,0,1,0,1,3,2,1,2,2,0,0,0,6,0,1,0,1,1,0,2,2,0,-4,0,0,0,0,1,0,2,1,1
"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake",2,0,6,15,6,9,4,4,0,7,19,9.8,4,3,0,4,13,5,8,11,9,2,3,2,21,0,3,2,1,6,0,10,3,7,2,0,5,3,2,10,3,10,3,7
"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Parker Joncus",0,1,2,2,0,2,0,0,0,0,0,1.85,0,0,0,2,4,1,3,0,0,0,0,1,2,0,1,0,1,3,1,3,1,2,-2,0,0,0,0,2,2,2,0,2
"Anthony Mosley,Calvin Schmitz,Jake Bruns,Kohl Linder,Max Hisatake",0,0,0,1,0,1,0,0,0,1,0,0.333333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Anthony Mosley,Calvin Schmitz,Jake Bruns,Max Hisatake,Milos Dugalic",0,0,0,1,0,1,0,0,0,1,0,0.433333333333332,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Parker Joncus",0,1,1,1,0,1,0,0,0,1,0,0.549999999999999,1,0,0,0,1,0,1,2,1,1,0,0,1,1,0,0,0,0,0,1,0,1,-1,0,0,0,0,2,1,1,0,1
"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Zach Parduhn",0,0,0,1,0,1,2,0,2,1,0,1.98333333333333,1,1,0,1,2,2,0,0,0,0,1,0,4,0,0,0,0,1,0,2,2,0,-4,0,1,0,1,1,1,0,0,0
"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Otis Reale,Parker Joncus",0,0,1,1,0,1,0,0,0,0,0,1.78333333333333,0,0,0,1,2,1,1,0,0,0,0,0,2,2,0,0,0,1,0,2,1,1,-2,0,0,0,0,1,2,1,0,1
"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Parker Joncus,Ricardo Whitehead",0,0,1,4,1,3,0,0,0,2,2,1.73333333333333,3,0,0,0,3,1,2,2,1,1,0,1,3,1,2,0,2,1,0,1,1,0,-1,0,0,0,0,4,2,4,1,3
"Anthony Mosley,Capriest Gardner,Jake Bruns,Jake Digiorgio,Parker Joncus",0,1,1,3,0,3,0,0,0,0,0,0.9166666666666651,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0,0,2,0,2,1,0,1,0,1
