,chosen_player,pair,min,metric_name,metric_desc,metric_value
0,Anthony Mosley,"Anthony Mosley,Otis Reale",46.6333333333334,three_point_percentage,average 3 point percentage,0.357142857142857
0,Anthony Mosley,"Anthony Mosley,Milos Dugalic",134.85,three_point_percentage,average 3 point percentage,0.392857142857143
0,Ahmad Muhammad,"Ahmad Muhammad,Milos Dugalic",241.416666666667,three_point_percentage,average 3 point percentage,0.31304347826087
0,Ahmad Muhammad,"Ahmad Muhammad,Kohl Linder",39.5833333333334,three_point_percentage,average 3 point percentage,0.357142857142857
0,Ahmad Muhammad,"Ahmad Muhammad,Jalen Lomax",3.83333333333333,three_point_percentage,average 3 point percentage,0.75
0,Ahmad Muhammad,"Ahmad Muhammad,Cody Mattson",22.0333333333333,three_point_percentage,average 3 point percentage,0.555555555555556
0,Ahmad Muhammad,"Ahmad Muhammad,Zach Parduhn",11.1,three_point_percentage,average 3 point percentage,1.0
0,Jake Bruns,"Anthony Mosley,Jake Bruns",65.65,three_point_percentage,average 3 point percentage,0.341463414634146
0,Jake Bruns,"Jake Bruns,Otis Reale",100.85,three_point_percentage,average 3 point percentage,0.377777777777778
0,Jake Bruns,"Jake Bruns,Jake Digiorgio",211.6,three_point_percentage,average 3 point percentage,0.359223300970874
0,Jake Bruns,"Jake Bruns,Max Hisatake",173.916666666667,three_point_percentage,average 3 point percentage,0.421052631578947
0,Jake Bruns,"Cody Mattson,Jake Bruns",12.7833333333333,three_point_percentage,average 3 point percentage,0.4
0,Jalen Lomax,"Jalen Lomax,Zach Parduhn",5.71666666666666,three_point_percentage,average 3 point percentage,0.0
0,Jalen Lomax,"Jalen Lomax,Milos Dugalic",4.5,three_point_percentage,average 3 point percentage,0.6
0,Jalen Lomax,"Jake Digiorgio,Jalen Lomax",3.83333333333333,three_point_percentage,average 3 point percentage,0.75
0,Jalen Lomax,"Ahmad Muhammad,Jalen Lomax",3.83333333333333,three_point_percentage,average 3 point percentage,0.75
0,Jalen Lomax,"Cody Mattson,Jalen Lomax",6.96666666666666,three_point_percentage,average 3 point percentage,0.75
0,Calvin Schmitz,"Calvin Schmitz,Jake Digiorgio",262.45,three_point_percentage,average 3 point percentage,0.369369369369369
0,Calvin Schmitz,"Calvin Schmitz,Capriest Gardner",12.15,three_point_percentage,average 3 point percentage,0.375
0,Calvin Schmitz,"Calvin Schmitz,Milos Dugalic",106.25,three_point_percentage,average 3 point percentage,0.387755102040816
0,Calvin Schmitz,"Calvin Schmitz,Otis Reale",208.116666666667,three_point_percentage,average 3 point percentage,0.4
0,Calvin Schmitz,"Calvin Schmitz,Parker Joncus",184.016666666667,three_point_percentage,average 3 point percentage,0.40625
0,Capriest Gardner,"Ahmad Muhammad,Capriest Gardner",31.9,three_point_percentage,average 3 point percentage,0.307692307692308
0,Capriest Gardner,"Anthony Mosley,Capriest Gardner",49.0166666666667,three_point_percentage,average 3 point percentage,0.3125
0,Capriest Gardner,"Capriest Gardner,Otis Reale",37.15,three_point_percentage,average 3 point percentage,0.375
0,Capriest Gardner,"Calvin Schmitz,Capriest Gardner",12.15,three_point_percentage,average 3 point percentage,0.375
0,Capriest Gardner,"Capriest Gardner,Ricardo Whitehead",8.48333333333334,three_point_percentage,average 3 point percentage,1.0
0,Brett Ott,"Brett Ott,Kohl Linder",5.81666666666666,three_point_percentage,average 3 point percentage,0.0
0,Brett Ott,"Brett Ott,Jake Bruns",4.1,three_point_percentage,average 3 point percentage,0.0
0,Brett Ott,"Brett Ott,Jalen Lomax",6.76666666666666,three_point_percentage,average 3 point percentage,0.0
0,Brett Ott,"Brett Ott,Calvin Schmitz",4.53333333333333,three_point_percentage,average 3 point percentage,0.0
0,Brett Ott,"Brett Ott,Zach Parduhn",10.0666666666667,three_point_percentage,average 3 point percentage,0.0
0,Jake Digiorgio,"Jake Digiorgio,Otis Reale",349.15,three_point_percentage,average 3 point percentage,0.359477124183007
0,Jake Digiorgio,"Jake Digiorgio,Milos Dugalic",277.116666666667,three_point_percentage,average 3 point percentage,0.361538461538462
0,Jake Digiorgio,"Calvin Schmitz,Jake Digiorgio",262.45,three_point_percentage,average 3 point percentage,0.369369369369369
0,Jake Digiorgio,"Jake Digiorgio,Jalen Lomax",3.83333333333333,three_point_percentage,average 3 point percentage,0.75
0,Jake Digiorgio,"Cody Mattson,Jake Digiorgio",20.7166666666667,three_point_percentage,average 3 point percentage,0.625
0,Max Hisatake,"Max Hisatake,Milos Dugalic",231.583333333333,three_point_percentage,average 3 point percentage,0.359223300970874
0,Max Hisatake,"Max Hisatake,Otis Reale",346.066666666667,three_point_percentage,average 3 point percentage,0.361842105263158
0,Max Hisatake,"Jake Bruns,Max Hisatake",173.916666666667,three_point_percentage,average 3 point percentage,0.421052631578947
0,Max Hisatake,"Max Hisatake,Ricardo Whitehead",17.3166666666667,three_point_percentage,average 3 point percentage,0.4
0,Max Hisatake,"Kohl Linder,Max Hisatake",21.2666666666667,three_point_percentage,average 3 point percentage,0.444444444444444
0,Otis Reale,"Otis Reale,Parker Joncus",289.066666666667,three_point_percentage,average 3 point percentage,0.375
0,Otis Reale,"Calvin Schmitz,Otis Reale",208.116666666667,three_point_percentage,average 3 point percentage,0.4
0,Otis Reale,"Jake Bruns,Otis Reale",100.85,three_point_percentage,average 3 point percentage,0.377777777777778
0,Otis Reale,"Cody Mattson,Otis Reale",8.36666666666667,three_point_percentage,average 3 point percentage,0.5
0,Otis Reale,"Otis Reale,Ricardo Whitehead",38.2,three_point_percentage,average 3 point percentage,0.615384615384615
0,Milos Dugalic,"Calvin Schmitz,Milos Dugalic",106.25,three_point_percentage,average 3 point percentage,0.387755102040816
0,Milos Dugalic,"Milos Dugalic,Ricardo Whitehead",45.9333333333334,three_point_percentage,average 3 point percentage,0.388888888888889
0,Milos Dugalic,"Anthony Mosley,Milos Dugalic",134.85,three_point_percentage,average 3 point percentage,0.392857142857143
0,Milos Dugalic,"Cody Mattson,Milos Dugalic",6.05,three_point_percentage,average 3 point percentage,0.8
0,Milos Dugalic,"Jalen Lomax,Milos Dugalic",4.5,three_point_percentage,average 3 point percentage,0.6
0,Cody Mattson,"Cody Mattson,Otis Reale",8.36666666666667,three_point_percentage,average 3 point percentage,0.5
0,Cody Mattson,"Ahmad Muhammad,Cody Mattson",22.0333333333333,three_point_percentage,average 3 point percentage,0.555555555555556
0,Cody Mattson,"Cody Mattson,Jake Digiorgio",20.7166666666667,three_point_percentage,average 3 point percentage,0.625
0,Cody Mattson,"Cody Mattson,Jalen Lomax",6.96666666666666,three_point_percentage,average 3 point percentage,0.75
0,Cody Mattson,"Cody Mattson,Milos Dugalic",6.05,three_point_percentage,average 3 point percentage,0.8
0,Parker Joncus,"Jake Digiorgio,Parker Joncus",427.783333333333,three_point_percentage,average 3 point percentage,0.324742268041237
0,Parker Joncus,"Kohl Linder,Parker Joncus",22.1,three_point_percentage,average 3 point percentage,0.333333333333333
0,Parker Joncus,"Otis Reale,Parker Joncus",289.066666666667,three_point_percentage,average 3 point percentage,0.375
0,Parker Joncus,"Calvin Schmitz,Parker Joncus",184.016666666667,three_point_percentage,average 3 point percentage,0.40625
0,Parker Joncus,"Milos Dugalic,Parker Joncus",137.066666666667,three_point_percentage,average 3 point percentage,0.337837837837838
0,Ricardo Whitehead,"Jake Digiorgio,Ricardo Whitehead",35.35,three_point_percentage,average 3 point percentage,0.307692307692308
0,Ricardo Whitehead,"Milos Dugalic,Ricardo Whitehead",45.9333333333334,three_point_percentage,average 3 point percentage,0.388888888888889
0,Ricardo Whitehead,"Otis Reale,Ricardo Whitehead",38.2,three_point_percentage,average 3 point percentage,0.615384615384615
0,Ricardo Whitehead,"Capriest Gardner,Ricardo Whitehead",8.48333333333334,three_point_percentage,average 3 point percentage,1.0
0,Ricardo Whitehead,"Max Hisatake,Ricardo Whitehead",17.3166666666667,three_point_percentage,average 3 point percentage,0.4
0,Kohl Linder,"Kohl Linder,Otis Reale",34.4666666666667,three_point_percentage,average 3 point percentage,0.263157894736842
0,Kohl Linder,"Kohl Linder,Milos Dugalic",35.15,three_point_percentage,average 3 point percentage,0.272727272727273
0,Kohl Linder,"Ahmad Muhammad,Kohl Linder",39.5833333333334,three_point_percentage,average 3 point percentage,0.357142857142857
0,Kohl Linder,"Kohl Linder,Max Hisatake",21.2666666666667,three_point_percentage,average 3 point percentage,0.444444444444444
0,Kohl Linder,"Kohl Linder,Parker Joncus",22.1,three_point_percentage,average 3 point percentage,0.333333333333333
0,Zach Parduhn,"Milos Dugalic,Zach Parduhn",15.8833333333333,three_point_percentage,average 3 point percentage,0.2
0,Zach Parduhn,"Calvin Schmitz,Zach Parduhn",29.9666666666667,three_point_percentage,average 3 point percentage,0.272727272727273
0,Zach Parduhn,"Jake Bruns,Zach Parduhn",26.4833333333333,three_point_percentage,average 3 point percentage,0.3
0,Zach Parduhn,"Ahmad Muhammad,Zach Parduhn",11.1,three_point_percentage,average 3 point percentage,1.0
0,Zach Parduhn,"Jake Digiorgio,Zach Parduhn",29.1166666666667,three_point_percentage,average 3 point percentage,0.3
0,Anthony Mosley,"Anthony Mosley,Kohl Linder",12.8833333333333,foul_rate,number of fouls committed per minute,0.620957309184993
0,Anthony Mosley,"Anthony Mosley,Jake Bruns",65.65,foul_rate,number of fouls committed per minute,0.441736481340442
0,Anthony Mosley,"Anthony Mosley,Brett Ott",2.81666666666667,foul_rate,number of fouls committed per minute,0.0
0,Anthony Mosley,"Ahmad Muhammad,Anthony Mosley",214.633333333333,foul_rate,number of fouls committed per minute,0.391365118807268
0,Anthony Mosley,"Anthony Mosley,Capriest Gardner",49.0166666666667,foul_rate,number of fouls committed per minute,0.428425705542332
0,Ben Wagner,"Ben Wagner,Jalen Lomax",1.05,foul_rate,number of fouls committed per minute,0.0
0,Ben Wagner,"Ben Wagner,Calvin Schmitz",1.05,foul_rate,number of fouls committed per minute,0.0
0,Ben Wagner,"Ben Wagner,Brett Ott",1.05,foul_rate,number of fouls committed per minute,0.0
0,Ben Wagner,"Ben Wagner,Kohl Linder",1.05,foul_rate,number of fouls committed per minute,0.0
0,Ahmad Muhammad,"Ahmad Muhammad,Ricardo Whitehead",46.0333333333333,foul_rate,number of fouls committed per minute,0.608254887762491
0,Ahmad Muhammad,"Ahmad Muhammad,Capriest Gardner",31.9,foul_rate,number of fouls committed per minute,0.438871473354232
0,Ahmad Muhammad,"Ahmad Muhammad,Jalen Lomax",3.83333333333333,foul_rate,number of fouls committed per minute,0.0
0,Ahmad Muhammad,"Ahmad Muhammad,Calvin Schmitz",133.0,foul_rate,number of fouls committed per minute,0.383458646616541
0,Ahmad Muhammad,"Ahmad Muhammad,Anthony Mosley",214.633333333333,foul_rate,number of fouls committed per minute,0.391365118807268
0,Jake Bruns,"Jake Bruns,Jalen Lomax",2.76666666666667,foul_rate,number of fouls committed per minute,0.72289156626506
0,Jake Bruns,"Capriest Gardner,Jake Bruns",35.3666666666667,foul_rate,number of fouls committed per minute,0.480678605089538
0,Jake Bruns,"Ahmad Muhammad,Jake Bruns",108.95,foul_rate,number of fouls committed per minute,0.49564020192749
0,Jake Bruns,"Calvin Schmitz,Jake Bruns",100.766666666667,foul_rate,number of fouls committed per minute,0.43665233212041
0,Jake Bruns,"Anthony Mosley,Jake Bruns",65.65,foul_rate,number of fouls committed per minute,0.441736481340442
0,Jalen Lomax,"Jalen Lomax,Parker Joncus",2.76666666666667,foul_rate,number of fouls committed per minute,0.72289156626506
0,Jalen Lomax,"Calvin Schmitz,Jalen Lomax",3.63333333333333,foul_rate,number of fouls committed per minute,0.55045871559633
0,Jalen Lomax,"Ben Wagner,Jalen Lomax",1.05,foul_rate,number of fouls committed per minute,0.0
0,Jalen Lomax,"Ahmad Muhammad,Jalen Lomax",3.83333333333333,foul_rate,number of fouls committed per minute,0.0
0,Jalen Lomax,"Capriest Gardner,Jalen Lomax",1.85,foul_rate,number of fouls committed per minute,0.54054054054054
0,Calvin Schmitz,"Calvin Schmitz,Jalen Lomax",3.63333333333333,foul_rate,number of fouls committed per minute,0.55045871559633
0,Calvin Schmitz,"Anthony Mosley,Calvin Schmitz",52.3,foul_rate,number of fouls committed per minute,0.478011472275335
0,Calvin Schmitz,"Ahmad Muhammad,Calvin Schmitz",133.0,foul_rate,number of fouls committed per minute,0.383458646616541
0,Calvin Schmitz,"Ben Wagner,Calvin Schmitz",1.05,foul_rate,number of fouls committed per minute,0.0
0,Calvin Schmitz,"Calvin Schmitz,Jake Bruns",100.766666666667,foul_rate,number of fouls committed per minute,0.43665233212041
0,Capriest Gardner,"Capriest Gardner,Kohl Linder",1.51666666666667,foul_rate,number of fouls committed per minute,1.31868131868132
0,Capriest Gardner,"Capriest Gardner,Jake Bruns",35.3666666666667,foul_rate,number of fouls committed per minute,0.480678605089538
0,Capriest Gardner,"Ahmad Muhammad,Capriest Gardner",31.9,foul_rate,number of fouls committed per minute,0.438871473354232
0,Capriest Gardner,"Calvin Schmitz,Capriest Gardner",12.15,foul_rate,number of fouls committed per minute,0.411522633744856
0,Capriest Gardner,"Anthony Mosley,Capriest Gardner",49.0166666666667,foul_rate,number of fouls committed per minute,0.428425705542332
0,Brett Ott,"Brett Ott,Cody Mattson",3.13333333333333,foul_rate,number of fouls committed per minute,0.638297872340426
0,Brett Ott,"Brett Ott,Calvin Schmitz",4.53333333333333,foul_rate,number of fouls committed per minute,0.441176470588235
0,Brett Ott,"Anthony Mosley,Brett Ott",2.81666666666667,foul_rate,number of fouls committed per minute,0.0
0,Brett Ott,"Ben Wagner,Brett Ott",1.05,foul_rate,number of fouls committed per minute,0.0
0,Brett Ott,"Brett Ott,Jake Bruns",4.1,foul_rate,number of fouls committed per minute,0.24390243902439
0,Jake Digiorgio,"Jake Digiorgio,Ricardo Whitehead",35.35,foul_rate,number of fouls committed per minute,0.622347949080622
0,Jake Digiorgio,"Jake Bruns,Jake Digiorgio",211.6,foul_rate,number of fouls committed per minute,0.406427221172023
0,Jake Digiorgio,"Anthony Mosley,Jake Digiorgio",280.95,foul_rate,number of fouls committed per minute,0.380850685175298
0,Jake Digiorgio,"Jake Digiorgio,Jalen Lomax",3.83333333333333,foul_rate,number of fouls committed per minute,0.0
0,Jake Digiorgio,"Calvin Schmitz,Jake Digiorgio",262.45,foul_rate,number of fouls committed per minute,0.39626595542008
0,Max Hisatake,"Max Hisatake,Zach Parduhn",15.9666666666667,foul_rate,number of fouls committed per minute,0.626304801670146
0,Max Hisatake,"Ahmad Muhammad,Max Hisatake",365.85,foul_rate,number of fouls committed per minute,0.43460434604346
0,Max Hisatake,"Calvin Schmitz,Max Hisatake",245.65,foul_rate,number of fouls committed per minute,0.40301241603908
0,Max Hisatake,"Anthony Mosley,Max Hisatake",245.25,foul_rate,number of fouls committed per minute,0.395514780835882
0,Max Hisatake,"Capriest Gardner,Max Hisatake",37.7833333333333,foul_rate,number of fouls committed per minute,0.423467137185708
0,Otis Reale,"Kohl Linder,Otis Reale",34.4666666666667,foul_rate,number of fouls committed per minute,0.609284332688588
0,Otis Reale,"Jake Bruns,Otis Reale",100.85,foul_rate,number of fouls committed per minute,0.416460089241448
0,Otis Reale,"Anthony Mosley,Otis Reale",46.6333333333334,foul_rate,number of fouls committed per minute,0.364546104360257
0,Otis Reale,"Calvin Schmitz,Otis Reale",208.116666666667,foul_rate,number of fouls committed per minute,0.355569792584288
0,Otis Reale,"Capriest Gardner,Otis Reale",37.15,foul_rate,number of fouls committed per minute,0.376850605652759
0,Milos Dugalic,"Milos Dugalic,Ricardo Whitehead",45.9333333333334,foul_rate,number of fouls committed per minute,0.67489114658926
0,Milos Dugalic,"Ahmad Muhammad,Milos Dugalic",241.416666666667,foul_rate,number of fouls committed per minute,0.439074905074215
0,Milos Dugalic,"Calvin Schmitz,Milos Dugalic",106.25,foul_rate,number of fouls committed per minute,0.376470588235294
